,Country,Total Cases,Total Death,Total Recovered,Active Cases,Serious Critical,Tot cases/1M pop,Deaths/1M pop,Total tests,Tests/ 1M pop,region,population,1 Case every X ppl,1 death every X ppl,1 Test every X ppl
125,Ukraine,4988890.0,108194.0,2569389.7672955976,89703.6289308176,177.0,115306.0,2501.0,19521252.0,451184.0,Europe,43266690.0,9.0,400.0,2.0
126,Israel,4016919.0,10601.0,3941841.0,64477.0,229.0,430723.0,1137.0,41373364.0,4436346.0,Asia,9326000.0,2.0,880.0,0.0
127,Thailand,3948869.0,26398.0,3689792.0,232679.0,1496.0,56323.0,377.0,17270775.0,246333.0,Asia,70111373.0,18.0,2656.0,4.0
128,Czechia,3872530.0,39941.0,3792554.0,40035.0,69.0,360426.0,3717.0,54962034.0,5115458.0,Europe,10744303.0,3.0,269.0,0.0
129,Portugal,3709026.0,21970.0,2569389.7672955976,89703.6289308176,61.0,365643.0,2166.0,40534335.0,3995951.0,Europe,10143853.0,3.0,462.0,0.0
130,Canada,3604570.0,38165.0,3361991.0,204414.0,407.0,94039.0,996.0,60083036.0,1567501.0,North America,38330466.0,11.0,1004.0,1.0
131,Switzerland,3551790.0,13767.0,3105701.0,432322.0,103.0,405125.0,1570.0,20548491.0,2343806.0,Europe,8767147.0,2.0,637.0,0.0
132,Greece,3206948.0,28344.0,3023257.0,155347.0,345.0,310373.0,2743.0,77162026.0,7467862.0,Europe,10332546.0,3.0,365.0,0.0
133,Romania,2877544.0,65285.0,2606660.0,205599.0,253.0,151374.0,3434.0,22396439.0,1178167.0,Europe,19009562.0,7.0,291.0,1.0
134,Iraq,2322551.0,25188.0,2290436.0,6927.0,23.0,55528.0,602.0,18409261.0,440136.0,Asia,41826345.0,18.0,1661.0,2.0
135,Bangladesh,1952162.0,29124.0,1889879.0,33159.0,1283.0,11647.0,174.0,13905661.0,82966.0,Asia,167606297.0,86.0,5755.0,12.0
136,Slovakia,1757117.0,19643.0,1683932.0,53542.0,130.0,321560.0,3595.0,6995626.0,1280232.0,Europe,5464344.0,3.0,278.0,1.0
137,Georgia,1652235.0,16781.0,1632194.0,3260.0,293.0128205128205,415599.0,4221.0,16627678.0,4182481.0,Asia,3975554.0,2.0,237.0,0.0
138,Ireland,1496910.0,6919.0,1346830.0,143161.0,58.0,297251.0,1374.0,11942846.0,2371570.0,Europe,5035840.0,3.0,728.0,0.0
139,Kazakhstan,1305327.0,13660.0,1290720.0,947.0,24.0,68071.0,712.0,11575012.0,603621.0,Asia,19175968.0,15.0,1404.0,2.0
140,Morocco,1164189.0,16061.0,1147424.0,704.0,293.0,30890.0,426.0,11237010.0,298157.0,Africa,37688292.0,32.0,2347.0,3.0
141,Bulgaria,1147812.0,36756.0,944639.0,166417.0,131.0,167430.0,5362.0,9724468.0,1418499.0,Europe,6855465.0,6.0,187.0,1.0
142,Cuba,1098114.0,8519.0,1087352.0,2243.0,23.0,97055.0,753.0,12920253.0,1141938.0,North America,11314325.0,10.0,1328.0,1.0
143,Lithuania,1045108.0,8991.0,997837.0,38280.0,47.0,393670.0,3387.0,8157182.0,3072638.0,Europe,2654781.0,3.0,295.0,0.0
144,Slovenia,992497.0,6541.0,956341.0,29615.0,32.0,477289.0,3146.0,2630208.0,1264860.0,Europe,2079446.0,2.0,318.0,1.0
145,Belarus,971649.0,6885.0,928536.0,36228.0,293.0128205128205,102888.0,729.0,12987175.0,1375207.0,Europe,9443797.0,10.0,1372.0,1.0
146,Bolivia,903584.0,21899.0,850086.0,31599.0,220.0,75575.0,1832.0,2688875.0,224896.0,South America,11956065.0,13.0,546.0,4.0
147,UAE,894523.0,2302.0,875602.0,16619.0,293.0128205128205,88542.0,228.0,151396113.0,14985514.0,Asia,10102831.0,11.0,4389.0,0.0
